kernel_name,threads_per_block,num_blocks,time_ms,occupancy,predicted_threads,kernel_type,f1_sm_count,f2_max_threads_per_sm,f3_memory_bandwidth_gb_s,f4_peak_gflops,f5_shared_memory_per_sm_kb,f6_registers_per_thread,f7_shared_memory_per_block_kb,f8_local_memory_per_thread_b,f9_const_memory_kb,f10_instruction_count,f11_binary_size_kb,f12_arithmetic_intensity,f13_flop_count,f14_memory_ops,f15_fp_ratio,f16_transcendental_ratio,f17_access_pattern_score,f18_shared_mem_reuse,f19_global_load_ratio,f20_memory_divergence,f21_branch_intensity,f22_sync_intensity,f23_total_work_items,f24_work_per_sm
transpose,64,65536,0.0680,1.0000,512,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,8.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
transpose,128,32768,0.0370,1.0000,512,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,8.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
transpose,256,16384,0.0245,1.0000,512,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,8.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
transpose,512,8192,0.0274,1.0000,512,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,8.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
reduction,128,65536,0.1770,1.0000,128,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,10.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,16777216.0000,364722.0938
reduction,256,65536,0.3750,1.0000,128,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,10.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,16777216.0000,364722.0938
reduction,512,32768,0.4393,1.0000,128,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,10.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,16777216.0000,364722.0938
reduction,1024,16384,0.6992,0.6667,128,memory_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,10.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,16777216.0000,364722.0938
matmul_naive,64,4096,0.0246,1.0000,64,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,40.0000,0.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,262144.0000,5698.7827
matmul_naive,128,2048,0.0252,1.0000,64,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,40.0000,0.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,262144.0000,5698.7827
matmul_naive,256,1024,0.0317,1.0000,64,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,40.0000,0.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,262144.0000,5698.7827
matmul_shared,64,4096,0.1638,1.0000,128,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,38.0000,2.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.8000,2.0000,0.5000,0.1000,0.1000,0.2000,262144.0000,5698.7827
matmul_shared,128,2048,0.1607,1.0000,128,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,38.0000,2.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.8000,2.0000,0.5000,0.1000,0.1000,0.2000,262144.0000,5698.7827
matmul_shared,256,1024,0.1639,1.0000,128,compute_bound,46.0000,1536.0000,504.0480,29498.8809,100.0000,38.0000,2.0000,0.0000,0.0000,100.0000,10.0000,1.0000,500.0000,500.0000,0.5000,0.0500,0.8000,2.0000,0.5000,0.1000,0.1000,0.2000,262144.0000,5698.7827
stencil_2d,64,65536,0.0652,1.0000,256,balanced,46.0000,1536.0000,504.0480,29498.8809,100.0000,28.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
stencil_2d,128,32768,0.0370,1.0000,256,balanced,46.0000,1536.0000,504.0480,29498.8809,100.0000,28.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
stencil_2d,256,16384,0.0272,1.0000,256,balanced,46.0000,1536.0000,504.0480,29498.8809,100.0000,28.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
stencil_2d,512,8192,0.0255,1.0000,256,balanced,46.0000,1536.0000,504.0480,29498.8809,100.0000,28.0000,0.0000,0.0000,0.0000,100.0000,10.0000,0.5000,100.0000,1000.0000,0.3000,0.0000,0.5000,0.0000,0.5000,0.1000,0.1000,0.0000,4194304.0000,91180.5234
